filename	mapp_sample_id	ATTRIBUTE_sample_id	ATTRIBUTE_sample_group_full	ATTRIBUTE_sample_group	sample_type	ATTRIBUTE_genus	ATTRIBUTE_species	ATTRIBUTE_receptor_site	condition 	origin	receptor_site_long_dec	receptor_site_latit_dec	origin_site_long_dec	origin_site_latit_dec
A2M1+_RA7_01_19762_modified.mzXML	A2M1+_RA7_01_19762	A2M1	A2M	A	sample	Sphagnum	Sphagnum balticum	Estonia	box	Sphagnum balticum	58.874	26.251	58.874	26.251
A2M2+_RD1_01_19792_modified.mzXML	A2M2+_RD1_01_19792	A2M2	A2M	A	sample	Sphagnum	Sphagnum balticum	Estonia	box	Sphagnum balticum	58.874	26.251	58.874	26.251
A2M3+_GA1_01_19820_modified.mzXML	A2M3+_GA1_01_19820	A2M3	A2M	A	sample	Sphagnum	Sphagnum balticum	Estonia	box	Sphagnum balticum	58.874	26.251	58.874	26.251
A2M4+_GC4_01_19850_modified.mzXML	A2M4+_GC4_01_19850	A2M4	A2M	A	sample	Sphagnum	Sphagnum balticum	Estonia	box	Sphagnum balticum	58.874	26.251	58.874	26.251
A2M5+_GE6_01_19880_modified.mzXML	A2M5+_GE6_01_19880	A2M5	A2M	A	sample	Sphagnum	Sphagnum balticum	Estonia	box	Sphagnum balticum	58.874	26.251	58.874	26.251
A2C1+_RA8_01_19763_modified.mzXML	A2C1+_RA8_01_19763	A2C1	A2C	A	sample	Sphagnum	Sphagnum balticum	France	box	Sphagnum balticum	42.6888	2.234	58.874	26.251
A2C2+_RD2_01_19793_modified.mzXML	A2C2+_RD2_01_19793	A2C2	A2C	A	sample	Sphagnum	Sphagnum balticum	France	box	Sphagnum balticum	42.6888	2.234	58.874	26.251
A2C3+_GA2_01_19821_modified.mzXML	A2C3+_GA2_01_19821	A2C3	A2C	A	sample	Sphagnum	Sphagnum balticum	France	box	Sphagnum balticum	42.6888	2.234	58.874	26.251
A2C4+_GC5_01_19851_modified.mzXML	A2C4+_GC5_01_19851	A2C4	A2C	A	sample	Sphagnum	Sphagnum balticum	France	box	Sphagnum balticum	42.6888	2.234	58.874	26.251
A2C5+_GE7_01_19887_modified.mzXML	A2C5+_GE7_01_19887	A2C5	A2C	A	sample	Sphagnum	Sphagnum balticum	France	box	Sphagnum balticum	42.6888	2.234	58.874	26.251
A2A1+_RA6_01_19761_modified.mzXML	A2A1+_RA6_01_19761	A2A1	A2A	A	sample	Sphagnum	Sphagnum balticum	Sweden	box	Sphagnum balticum	68.3453	19.0663	58.874	26.251
A2A2+_RC8_01_19791_modified.mzXML	A2A2+_RC8_01_19791	A2A2	A2A	A	sample	Sphagnum	Sphagnum balticum	Sweden	box	Sphagnum balticum	68.3453	19.0663	58.874	26.251
A2A3+_RE8_01_19819_modified.mzXML	A2A3+_RE8_01_19819	A2A3	A2A	A	sample	Sphagnum	Sphagnum balticum	Sweden	box	Sphagnum balticum	68.3453	19.0663	58.874	26.251
A2A4+_GC3_01_19849_modified.mzXML	A2A4+_GC3_01_19849	A2A4	A2A	A	sample	Sphagnum	Sphagnum balticum	Sweden	box	Sphagnum balticum	68.3453	19.0663	58.874	26.251
A2A5+_GE5_01_19879_modified.mzXML	A2A5+_GE5_01_19879	A2A5	A2A	A	sample	Sphagnum	Sphagnum balticum	Sweden	box	Sphagnum balticum	68.3453	19.0663	58.874	26.251
Acont1+_RB1_01_19764_modified.mzXML	Acont1+_RB1_01_19764	Acont1	Acont	A	sample	Sphagnum	Sphagnum balticum	Sweden	intact at home site	Sphagnum balticum	68.3453	19.0663	58.874	26.251
Acont2+_RD3_01_19794_modified.mzXML	Acont2+_RD3_01_19794	Acont2	Acont	A	sample	Sphagnum	Sphagnum balticum	Sweden	intact at home site	Sphagnum balticum	68.3453	19.0663	58.874	26.251
Acont3+_GA3_01_19822_modified.mzXML	Acont3+_GA3_01_19822	Acont3	Acont	A	sample	Sphagnum	Sphagnum balticum	Sweden	intact at home site	Sphagnum balticum	68.3453	19.0663	58.874	26.251
Acont4+_GC6_01_19852_modified.mzXML	Acont4+_GC6_01_19852	Acont4	Acont	A	sample	Sphagnum	Sphagnum balticum	Sweden	intact at home site	Sphagnum balticum	68.3453	19.0663	58.874	26.251
Acont5+_GE8_01_19888_modified.mzXML	Acont5+_GE8_01_19888	Acont5	Acont	A	sample	Sphagnum	Sphagnum balticum	Sweden	intact at home site	Sphagnum balticum	68.3453	19.0663	58.874	26.251
K2M1+_RC2_01_19779_modified.mzXML	K2M1+_RC2_01_19779	K2M1	K2M	K	sample	Sphagnum	Sphagnum magellanicum	Estonia	box	Sphagnum magellanicum	58.874	26.251	53.8133	16.5867
K2M2+_RE2_01_19807_modified.mzXML	K2M2+_RE2_01_19807	K2M2	K2M	K	sample	Sphagnum	Sphagnum magellanicum	Estonia	box	Sphagnum magellanicum	58.874	26.251	53.8133	16.5867
K2M3+_GB5_01_19838_modified.mzXML	K2M3+_GB5_01_19838	K2M3	K2M	K	sample	Sphagnum	Sphagnum magellanicum	Estonia	box	Sphagnum magellanicum	58.874	26.251	53.8133	16.5867
K2M4+_GD7_01_19873_modified.mzXML	K2M4+_GD7_01_19873	K2M4	K2M	K	sample	Sphagnum	Sphagnum magellanicum	Estonia	box	Sphagnum magellanicum	58.874	26.251	53.8133	16.5867
K2M5+_BB1_01_19902_modified.mzXML	K2M5+_BB1_01_19902	K2M5	K2M	K	sample	Sphagnum	Sphagnum magellanicum	Estonia	box	Sphagnum magellanicum	58.874	26.251	53.8133	16.5867
K2C1+_RC3_01_19780_modified.mzXML	K2C1+_RC3_01_19780	K2C1	K2C	K	sample	Sphagnum	Sphagnum magellanicum	France	box	Sphagnum magellanicum	42.6888	2.234	53.8133	16.5867
K2C2+_RE3_01_19808_modified.mzXML	K2C2+_RE3_01_19808	K2C2	K2C	K	sample	Sphagnum	Sphagnum magellanicum	France	box	Sphagnum magellanicum	42.6888	2.234	53.8133	16.5867
K2C3+_GB6_01_19845_modified.mzXML	K2C3+_GB6_01_19845	K2C3	K2C	K	sample	Sphagnum	Sphagnum magellanicum	France	box	Sphagnum magellanicum	42.6888	2.234	53.8133	16.5867
K2C4+_GD8_01_19874_modified.mzXML	K2C4+_GD8_01_19874	K2C4	K2C	K	sample	Sphagnum	Sphagnum magellanicum	France	box	Sphagnum magellanicum	42.6888	2.234	53.8133	16.5867
K2C5+_BB2_01_19903_modified.mzXML	K2C5+_BB2_01_19903	K2C5	K2C	K	sample	Sphagnum	Sphagnum magellanicum	France	box	Sphagnum magellanicum	42.6888	2.234	53.8133	16.5867
K2A1+_RC1_01_19778_modified.mzXML	K2A1+_RC1_01_19778	K2A1	K2A	K	sample	Sphagnum	Sphagnum magellanicum	Sweden	box	Sphagnum magellanicum	68.3453	19.0663	53.8133	16.5867
K2A2+_RE1_01_19806_modified.mzXML	K2A2+_RE1_01_19806	K2A2	K2A	K	sample	Sphagnum	Sphagnum magellanicum	Sweden	box	Sphagnum magellanicum	68.3453	19.0663	53.8133	16.5867
K2A3+_GB4_01_19837_modified.mzXML	K2A3+_GB4_01_19837	K2A3	K2A	K	sample	Sphagnum	Sphagnum magellanicum	Sweden	box	Sphagnum magellanicum	68.3453	19.0663	53.8133	16.5867
K2A5+_BA8_01_19901_modified.mzXML	K2A5+_BA8_01_19901	K2A5	K2A	K	sample	Sphagnum	Sphagnum magellanicum	Sweden	box	Sphagnum magellanicum	68.3453	19.0663	53.8133	16.5867
S2M1+_RB3_01_19766_modified.mzXML	S2M1+_RB3_01_19766	S2M1	S2M	S	sample	Sphagnum	Sphagnum papillosum	Estonia	box	Sphagnum papillosum	58.874	26.251	61.8448	24.2882
S2M2+_RD5_01_19796_modified.mzXML	S2M2+_RD5_01_19796	S2M2	S2M	S	sample	Sphagnum	Sphagnum papillosum	Estonia	box	Sphagnum papillosum	58.874	26.251	61.8448	24.2882
S2M3+_GA5_01_19824_modified.mzXML	S2M3+_GA5_01_19824	S2M3	S2M	S	sample	Sphagnum	Sphagnum papillosum	Estonia	box	Sphagnum papillosum	58.874	26.251	61.8448	24.2882
S2M4+_GC8_01_19860_modified.mzXML	S2M4+_GC8_01_19860	S2M4	S2M	S	sample	Sphagnum	Sphagnum papillosum	Estonia	box	Sphagnum papillosum	58.874	26.251	61.8448	24.2882
S2M5+_BA2_01_19890_modified.mzXML	S2M5+_BA2_01_19890	S2M5	S2M	S	sample	Sphagnum	Sphagnum papillosum	Estonia	box	Sphagnum papillosum	58.874	26.251	61.8448	24.2882
S2C1+_RB4_01_19767_modified.mzXML	S2C1+_RB4_01_19767	S2C1	S2C	S	sample	Sphagnum	Sphagnum papillosum	France	box	Sphagnum papillosum	42.6888	2.234	61.8448	24.2882
S2C2+_RD6_01_19803_modified.mzXML	S2C2+_RD6_01_19803	S2C2	S2C	S	sample	Sphagnum	Sphagnum papillosum	France	box	Sphagnum papillosum	42.6888	2.234	61.8448	24.2882
S2C3+_GA6_01_19831_modified.mzXML	S2C3+_GA6_01_19831	S2C3	S2C	S	sample	Sphagnum	Sphagnum papillosum	France	box	Sphagnum papillosum	42.6888	2.234	61.8448	24.2882
S2C4+_GD1_01_19861_modified.mzXML	S2C4+_GD1_01_19861	S2C4	S2C	S	sample	Sphagnum	Sphagnum papillosum	France	box	Sphagnum papillosum	42.6888	2.234	61.8448	24.2882
S2C5+_BA3_01_19891_modified.mzXML	S2C5+_BA3_01_19891	S2C5	S2C	S	sample	Sphagnum	Sphagnum papillosum	France	box	Sphagnum papillosum	42.6888	2.234	61.8448	24.2882
S2A1+_RB2_01_19765_modified.mzXML	S2A1+_RB2_01_19765	S2A1	S2A	S	sample	Sphagnum	Sphagnum papillosum	Sweden	box	Sphagnum papillosum	68.3453	19.0663	61.8448	24.2882
S2A2+_RD4_01_19795_modified.mzXML	S2A2+_RD4_01_19795	S2A2	S2A	S	sample	Sphagnum	Sphagnum papillosum	Sweden	box	Sphagnum papillosum	68.3453	19.0663	61.8448	24.2882
S2A3+_GA4_01_19823_modified.mzXML	S2A3+_GA4_01_19823	S2A3	S2A	S	sample	Sphagnum	Sphagnum papillosum	Sweden	box	Sphagnum papillosum	68.3453	19.0663	61.8448	24.2882
S2A4+_GC7_01_19859_modified.mzXML	S2A4+_GC7_01_19859	S2A4	S2A	S	sample	Sphagnum	Sphagnum papillosum	Sweden	box	Sphagnum papillosum	68.3453	19.0663	61.8448	24.2882
S2A5+_BA1_01_19889_modified.mzXML	S2A5+_BA1_01_19889	S2A5	S2A	S	sample	Sphagnum	Sphagnum papillosum	Sweden	box	Sphagnum papillosum	68.3453	19.0663	61.8448	24.2882
M2M1+_RB6_01_19775_modified.mzXML	M2M1+_RB6_01_19775	M2M1	M2M	M	sample	Sphagnum	Sphagnum rubellum	Estonia	box	Sphagnum rubellum	58.874	26.251	58.874	26.251
M2M2+_RD8_01_19805_modified.mzXML	M2M2+_RD8_01_19805	M2M2	M2M	M	sample	Sphagnum	Sphagnum rubellum	Estonia	box	Sphagnum rubellum	58.874	26.251	58.874	26.251
M2M3+_GB1_01_19834_modified.mzXML	M2M3+_GB1_01_19834	M2M3	M2M	M	sample	Sphagnum	Sphagnum rubellum	Estonia	box	Sphagnum rubellum	58.874	26.251	58.874	26.251
M2M4+_GD3_01_19863_modified.mzXML	M2M4+_GD3_01_19863	M2M4	M2M	M	sample	Sphagnum	Sphagnum rubellum	Estonia	box	Sphagnum rubellum	58.874	26.251	58.874	26.251
M2M5+_BA5_01_19892_modified.mzXML	M2M5+_BA5_01_19892	M2M5	M2M	M	sample	Sphagnum	Sphagnum rubellum	Estonia	box	Sphagnum rubellum	58.874	26.251	58.874	26.251
Mcont1+_RB8_01_19777_modified.mzXML	Mcont1+_RB8_01_19777	Mcont1	Mcont	M	sample	Sphagnum	Sphagnum rubellum	Estonia	intact at home site	Sphagnum rubellum	58.874	26.251	58.874	26.251
Mcont2+_GA7_01_19832_modified.mzXML	Mcont2+_GA7_01_19832	Mcont2	Mcont	M	sample	Sphagnum	Sphagnum rubellum	Estonia	intact at home site	Sphagnum rubellum	58.874	26.251	58.874	26.251
Mcont3+_GB3_01_19836_modified.mzXML	Mcont3+_GB3_01_19836	Mcont3	Mcont	M	sample	Sphagnum	Sphagnum rubellum	Estonia	intact at home site	Sphagnum rubellum	58.874	26.251	58.874	26.251
Mcont4+_GD5_01_19865_modified.mzXML	Mcont4+_GD5_01_19865	Mcont4	Mcont	M	sample	Sphagnum	Sphagnum rubellum	Estonia	intact at home site	Sphagnum rubellum	58.874	26.251	58.874	26.251
Mcont5+_BA7_01_19894_modified.mzXML	Mcont5+_BA7_01_19894	Mcont5	Mcont	M	sample	Sphagnum	Sphagnum rubellum	Estonia	intact at home site	Sphagnum rubellum	58.874	26.251	58.874	26.251
